ID,URL,NAME,ADDRESS,CITY,SCHOOL_TYPE,LEVEL_CODE
a0d38e0e-a81e-4c0e-9336-92b43e1bbc19,https://educationdestinationasia.com/school/al-maarifa-international-private-school,Al Ma'arifa International Private School,United Arab Emirates (UAE),United Arab Emirates (UAE),"Secondary Schools, Preschool/Kindergarten, Primary Schools","s, k, p"
ecf62533-ef1e-4bf9-9489-02594a66c6a8,https://educationdestinationasia.com/school/sekolah-pelita-harapan-sentul-city,Sekolah Pelita Harapan Sentul City,Indonesia,Indonesia,Primary Schools,p
e9078a44-66dc-4141-9ffd-ef19be74d2a1,https://educationdestinationasia.com/school/mutiara-international-grammar-school,Mutiara International Grammar School (MIGS),"Ampang, Selangor",Ampang,"Preschool/Kindergarten, Primary Schools, Secondary Schools","k, p, s"
15a9cd4c-8e48-4887-9ee3-327027c26112,https://educationdestinationasia.com/school/mizuho-school,Mizuho School,Tokyo,Tokyo,Preschool/Kindergarten,k
92de41bd-3b73-4c4e-93f0-8ed0bbb6b75b,https://educationdestinationasia.com/school/clarion-school,Clarion School,United Arab Emirates (UAE),United Arab Emirates (UAE),"Preschool/Kindergarten, Primary Schools, Secondary Schools","k, p, s"
da698e97-5894-4e2b-98e8-a978eec341e0,https://educationdestinationasia.com/school/taejon-christian-international-school,Taejon Christian International School,Daejeon,Daejeon,"Secondary Schools, Pre-University","s, pu"
a181487f-e848-4c36-bf07-49a3eefcf79c,https://educationdestinationasia.com/school/maplewood-canadian-international-school,Maplewood Canadian International School,United Arab Emirates (UAE),United Arab Emirates (UAE),"Preschool/Kindergarten, Primary Schools, Secondary Schools","k, p, s"
684423f1-a058-4ee6-a15a-74d47d27b472,https://educationdestinationasia.com/school/axis-international-school,Axis International School,Tokyo,Tokyo,"Pre-University, Preschool/Kindergarten, Primary Schools, Secondary Schools","pu, k, p, s"
a55ac96c-e601-4379-8404-3cb319006381,https://educationdestinationasia.com/school/joy-to-the-world-american-international-school,Joy to the World American International School,Tokyo,Tokyo,Preschool/Kindergarten,k
11105b3f-e7e6-4f8b-af20-fd554b7cf545,https://educationdestinationasia.com/school/sunrise-school-bali,Sunrise School Bali,Indonesia,Indonesia,"Preschool/Kindergarten, Primary Schools","k, p"
0172d008-ca51-4fc0-ba1a-4156f32ee03e,https://educationdestinationasia.com/school/international-school-ho-chi-minh-city-secondary-campus,International School Ho Chi Minh City - Secondary Campus,Ho Chi Minh City,Ho Chi Minh City,Secondary Schools,s
48a898f0-7c28-4e8e-a9f8-9f1274563c8c,https://educationdestinationasia.com/school/tunas-muda-school-meruya-school,Tunas Muda School Meruya School,Jakarta,Jakarta,"Primary Schools, Secondary Schools, Pre-University","p, s, pu"
1bb0d893-cc7a-4b61-ad22-9e69238bb101,https://educationdestinationasia.com/school/yew-chung-international-school-of-beijing,Yew Chung International School of Beijing,Beijing,Beijing,"Preschool/Kindergarten, Primary Schools, Secondary Schools, Pre-University","k, p, s, pu"
0ac76fd4-256d-4aa4-90b0-1b88fec3f267,https://educationdestinationasia.com/school/yew-chung-international-school-of-shanghai-3,Yew Chung International School of Shanghai (Regency Park Campus),Shanghai,Shanghai,"Preschool/Kindergarten, Primary Schools","k, p"
9a24c237-2cbc-44c9-bdb3-30679b365297,https://educationdestinationasia.com/school/al-wataniya-international-school,Al Wataniya International School,Doha,Doha,,
c272c843-dc25-4718-82a0-c5e1ec1e5fed,https://educationdestinationasia.com/school/makassar-international-school,Makassar International School,Indonesia,Indonesia,"Preschool/Kindergarten, Primary Schools, Secondary Schools, Pre-University","k, p, s, pu"
787cbe0f-5b60-45b0-b3a3-e6306afc3116,https://educationdestinationasia.com/school/pan-asia-international-school,Pan-Asia International School,Bangkok,Bangkok,"Preschool/Kindergarten, Primary Schools, Secondary Schools, Pre-University","k, p, s, pu"
3e4f4410-ffbd-41e4-8777-7848e6f85d99,https://educationdestinationasia.com/school/the-little-makers,The Little Makers,"Subang Jaya, Selangor",Subang Jaya,Learning Centre,
db0b5e41-4997-4d1b-a4c2-12010f93b8c6,https://educationdestinationasia.com/school/mulberryhouse-international-preschool,Mulberryhouse International Preschool,Bangkok,Bangkok,Preschool/Kindergarten,k
